id,Feature1,Feature2,CategoricalFeature,ClassLabel
6yLDff,4,0.8,CategoryA,1
92lqV0,41,0.6,CategoryB,1
Gk1k26,13,0.0,CategoryB,0
5IDS1h,44,0.5,CategoryB,1
1xYX9w,75,0.2,CategoryB,1
Xvspup,67,0.6,CategoryB,1
oRyzA5,88,0.2,CategoryA,1
ekK3YI,57,0.9,CategoryB,1
fq6003,99,0.7,CategoryA,1
zrHhaK,30,0.8,CategoryB,1
MPAd6h,59,0.5,CategoryC,1
muEWuo,60,0.1,CategoryB,0
U3E946,81,0.3,CategoryC,1
6j08Vs,41,1.0,CategoryB,1
98yHBR,61,0.6,CategoryA,1
4q95uG,87,0.0,CategoryA,0
AnCeAs,100,1.0,CategoryA,1
ori00k,98,0.5,CategoryC,1
leFF8b,83,0.3,CategoryB,1
afMH8T,25,0.7,CategoryC,1
OMzg4b,97,0.4,CategoryB,1
6mvZ33,0,0.3,CategoryA,0
9mjjxC,41,0.8,CategoryB,1
4roBhZ,58,0.0,CategoryB,0
Bm0576,73,0.8,CategoryC,1
1eY4w6,87,0.9,CategoryB,1
7MHECt,29,0.4,CategoryC,0
EW9kjC,62,0.7,CategoryB,1
9xnuFn,35,0.1,CategoryB,0
794O7A,69,0.4,CategoryC,1
sSYDHO,65,0.7,CategoryA,1
5Pl602,33,0.8,CategoryA,1
1K3b32,87,0.7,CategoryB,1
mh1LMx,21,0.1,CategoryA,0
m4778t,42,0.7,CategoryB,1
nX7cIP,91,0.7,CategoryC,1
u9A1W3,33,0.9,CategoryC,1
xHZD4B,90,0.4,CategoryA,1
J8Ef0I,23,0.1,CategoryB,0
q8p3O2,12,0.9,CategoryB,1
M3E7oP,77,0.4,CategoryC,1
8qIAXg,60,0.8,CategoryB,1
SMrZ5I,28,0.5,CategoryA,1
8VF1g3,9,0.9,CategoryB,1
M72zG2,99,1.0,CategoryB,1
YQL7Y4,60,0.9,CategoryB,1
JNd7NL,23,0.8,CategoryC,1
2n9FEz,91,0.0,CategoryC,0
55GhRT,76,0.2,CategoryC,1
56fO99,97,0.0,CategoryB,0
X4JmB6,3,0.8,CategoryC,1
P7yYX0,16,0.4,CategoryC,0
3s1CYQ,35,0.9,CategoryC,1
W5QG58,94,0.6,CategoryC,1
9xh3aw,5,0.4,CategoryB,0
s8th8T,47,0.3,CategoryC,0
8nfa2P,7,0.4,CategoryC,0
tRmwS8,54,0.6,CategoryA,1
cA3Qt9,71,0.1,CategoryC,0
QZ3dnJ,75,0.1,CategoryA,0
1OHfKI,48,0.6,CategoryC,1
rX085M,30,0.7,CategoryB,1
BZXtb3,56,0.6,CategoryB,1
jt84SL,73,0.6,CategoryA,1
1kLqhT,48,0.9,CategoryA,1
sDfFyo,71,0.4,CategoryA,1
TFeq2F,71,0.7,CategoryA,1
a2qDea,87,0.9,CategoryA,1
83173P,6,0.5,CategoryB,0
1Q65g7,10,1.0,CategoryC,1
aP3vTV,34,0.4,CategoryA,0
L8Dxta,43,0.3,CategoryC,0
4LE4d7,45,0.7,CategoryA,1
mEuzVK,9,0.7,CategoryB,1
grM95e,70,0.8,CategoryC,1
8klOPC,45,0.4,CategoryB,1
4SHUjS,18,0.2,CategoryA,0
3l5MR1,58,0.4,CategoryB,1
KYEg2H,75,0.1,CategoryC,0
q3P95w,40,0.8,CategoryC,1
jRYyfn,21,0.4,CategoryB,0
5V7P50,99,0.9,CategoryB,1
BqQFFB,55,0.6,CategoryA,1
5welHd,69,0.7,CategoryA,1
NK3k87,32,0.1,CategoryA,0
F25qsu,31,0.9,CategoryB,1
583dM2,42,0.7,CategoryA,1
Qy43Pt,31,0.4,CategoryC,0
bahK0l,74,0.1,CategoryA,0
frw44B,46,0.7,CategoryC,1
C59pB9,49,0.5,CategoryC,1
4QzXC1,52,0.4,CategoryA,1
slNBDB,80,0.9,CategoryC,1
1Qms3c,77,0.0,CategoryC,0
LeHRBQ,24,0.3,CategoryC,0
9IVU2R,99,0.2,CategoryC,1
6sb0f6,29,0.7,CategoryC,1
TdC6uR,52,0.0,CategoryA,0
0302fO,56,0.7,CategoryC,1
Ee8nEj,64,0.5,CategoryC,1
n340L8,19,0.0,CategoryA,0
HE7103,56,0.2,CategoryB,0
d3RZs5,11,0.7,CategoryB,1
PkhTGu,32,0.4,CategoryB,0
48zrNH,12,0.7,CategoryA,1
nZh08q,49,0.9,CategoryC,1
b8nG3N,23,0.7,CategoryC,1
9I4I82,26,0.1,CategoryA,0
64UhqX,33,0.6,CategoryB,1
136Dp2,4,0.9,CategoryB,1
40S1Wd,4,0.4,CategoryC,0
ivPVDp,54,0.3,CategoryC,0
9w7c19,55,0.7,CategoryC,1
d5JU9q,11,0.9,CategoryA,1
LAudLL,13,0.5,CategoryB,0
T4IiF5,41,1.0,CategoryB,1
geRZ2M,44,0.9,CategoryA,1
4WHU2y,47,0.5,CategoryB,1
66sfqS,56,0.5,CategoryA,1
5y59h4,0,0.5,CategoryB,0
Un6yDE,48,0.2,CategoryC,0
4RVToP,39,1.0,CategoryC,1
HRPyrk,67,0.6,CategoryB,1
52TI00,15,0.9,CategoryB,1
BrYK59,60,0.8,CategoryB,1
JsRJ53,26,0.0,CategoryC,0
J0y0Wy,8,0.1,CategoryA,0
mOlkMq,54,0.4,CategoryB,1
EqZZJQ,96,0.9,CategoryA,1
9SV2dL,89,0.1,CategoryB,1
c2xWe7,39,0.1,CategoryB,0
m9T0gA,74,1.0,CategoryC,1
JpPDA0,4,0.9,CategoryA,1
59UIB9,24,0.8,CategoryB,1
nIIQKe,6,0.9,CategoryB,1
7d4Cp5,97,0.3,CategoryA,1
8kIgdc,28,0.6,CategoryC,1
O455cS,20,0.2,CategoryA,0
VL743A,19,0.6,CategoryC,1
hwQmil,57,0.3,CategoryA,1
efM03O,9,0.9,CategoryA,1
n0Q7e0,61,0.7,CategoryA,1
11oQJC,10,0.5,CategoryB,0
mIErY2,85,0.3,CategoryA,1
jajbWM,76,0.5,CategoryC,1
haqhXJ,54,0.3,CategoryA,0
23D7Le,92,0.4,CategoryA,1
FEE88A,2,0.1,CategoryB,0
5H366y,65,0.2,CategoryA,0
5Z2j4O,7,0.0,CategoryA,0
i8yLt1,87,0.7,CategoryC,1
aB9yer,8,1.0,CategoryA,1
koz4BC,84,0.4,CategoryA,1
lticMT,29,0.6,CategoryA,1
0tjBv9,50,1.0,CategoryA,1
DswN6B,23,0.5,CategoryC,0
3QvI3Z,96,0.8,CategoryB,1
8lR613,75,0.5,CategoryC,1
wa18U0,51,0.9,CategoryB,1
KcsD86,55,0.7,CategoryA,1
RTWdj5,38,0.7,CategoryB,1
103P0s,100,0.1,CategoryC,1
6q3YFk,69,0.0,CategoryA,0
qJJiwQ,30,1.0,CategoryB,1
wiH37w,28,0.8,CategoryC,1
J5V7su,4,0.6,CategoryB,0
5v8yh2,55,0.2,CategoryC,0
95B4vH,42,0.1,CategoryA,0
Gcy0R7,68,1.0,CategoryA,1
KUqoep,39,0.5,CategoryA,1
ePSv1I,92,0.6,CategoryA,1
85246r,84,0.5,CategoryC,1
rI382X,95,0.6,CategoryB,1
S5pfqV,10,0.2,CategoryC,0
eH58W1,54,0.4,CategoryA,1
DIE64p,22,0.1,CategoryB,0
O2rDyu,79,0.6,CategoryC,1
u8I061,65,0.3,CategoryC,1
glc41t,26,0.4,CategoryA,0
fe6h4U,47,1.0,CategoryC,1
Q6uUs1,32,0.8,CategoryB,1
Pw2wV8,96,0.8,CategoryC,1
0HME0i,63,0.7,CategoryA,1
Zrlz5e,94,0.0,CategoryA,0
04V89l,50,0.2,CategoryA,0
wmZwHM,20,0.1,CategoryA,0
h785uC,15,0.6,CategoryB,1
5Os4jK,19,0.6,CategoryC,1
r35k8W,99,0.3,CategoryC,1
AS2uTu,38,0.5,CategoryB,1
LO3gLB,38,1.0,CategoryA,1
Y2pmS6,40,0.7,CategoryB,1
srRvqP,35,0.3,CategoryB,0
4xrcUb,52,0.6,CategoryC,1
Vhz6Pb,66,0.5,CategoryB,1
L9AH38,89,0.9,CategoryB,1
7WKtT2,4,0.6,CategoryA,0
WzuQPz,72,0.2,CategoryC,1
4YHoNY,20,0.9,CategoryA,1
iPNT6q,29,0.9,CategoryB,1
8s9q5p,100,0.8,CategoryC,1
OzQ50x,54,0.4,CategoryA,1
Vec8KJ,55,0.8,CategoryA,1
MH1zmO,65,0.9,CategoryA,1
o7Wd6P,7,0.8,CategoryB,1
Sn58MZ,29,0.4,CategoryA,0
16kW3x,85,0.8,CategoryB,1
4mUS28,14,0.4,CategoryC,0
1jKBEo,71,0.7,CategoryA,1
yJDZPj,73,0.0,CategoryB,0
Vh7244,58,0.8,CategoryB,1
HxB6tT,51,0.6,CategoryB,1
40gRXg,32,0.8,CategoryA,1
8csawi,13,0.1,CategoryB,0
dCSvhu,76,0.7,CategoryC,1
55tTMu,89,0.5,CategoryB,1
8GcZrX,81,0.4,CategoryB,1
S4BXFt,69,0.6,CategoryC,1
2RXSfr,50,0.2,CategoryB,0
354G8p,47,0.5,CategoryC,1
24F80j,85,0.1,CategoryA,0
8RRc9R,5,0.0,CategoryB,0
98kYI9,79,0.8,CategoryA,1
pB8otG,16,0.5,CategoryB,0
Ew0zBB,18,0.2,CategoryC,0
EI7IC7,40,0.8,CategoryB,1
5Ni7yd,24,0.7,CategoryB,1
AJ3T7g,74,0.7,CategoryB,1
oT6Giv,26,0.6,CategoryA,1
n72GW6,50,0.4,CategoryB,1
JvMMd6,49,0.8,CategoryB,1
G2569Q,98,0.6,CategoryB,1
3Sysb5,11,0.2,CategoryB,0
aP241D,0,0.0,CategoryA,0
83eE7s,53,0.0,CategoryB,0
8Xr1kv,62,0.5,CategoryC,1
13oiV6,86,0.7,CategoryB,1
77h4nC,97,0.6,CategoryC,1
i2b64T,37,1.0,CategoryA,1
415Nyx,36,0.6,CategoryB,1
Fm5Wnt,18,0.8,CategoryB,1
qMQWTC,58,1.0,CategoryC,1
34CE85,41,0.2,CategoryC,0
4eV698,87,0.7,CategoryC,1
xNZ1uu,86,0.8,CategoryB,1
HD3671,56,0.4,CategoryC,1
12G2p5,20,0.8,CategoryA,1
5R8D7t,96,0.1,CategoryB,1
7JlgMC,96,0.8,CategoryA,1
jXzFl0,31,0.1,CategoryB,0
2iqt3y,42,0.1,CategoryA,0
Yrt8Bq,76,0.0,CategoryA,0
K82U2W,89,0.6,CategoryA,1
yw9CH0,13,0.4,CategoryC,0
7AbEPF,82,0.1,CategoryA,0
ge9oaI,59,0.2,CategoryA,0
s60szz,98,0.3,CategoryC,1
G3V2UJ,47,0.8,CategoryA,1
cZcPvF,45,0.1,CategoryC,0
qEFEhT,9,0.9,CategoryA,1
iCX7ux,32,0.8,CategoryC,1
sWA8ba,95,0.3,CategoryA,1
3F7yo5,42,0.8,CategoryB,1
M9lW5X,34,0.5,CategoryB,1
NjDjJd,2,0.4,CategoryC,0
PE69y1,11,0.0,CategoryB,0
fk1p94,9,0.7,CategoryA,1
Rk191O,2,0.4,CategoryC,0
52ceJT,3,1.0,CategoryC,1
QR3WgR,29,0.1,CategoryC,0
Zn19P6,3,0.5,CategoryB,0
CMBg92,73,1.0,CategoryC,1
m5Vz4H,63,0.3,CategoryB,1
PMWTFU,34,0.7,CategoryA,1
Qj3Wtu,94,0.9,CategoryA,1
X20I0O,24,0.2,CategoryA,0
k1m25M,86,0.7,CategoryC,1
2v7Zod,58,0.0,CategoryC,0
atK085,12,0.5,CategoryC,0
14GI6G,81,0.2,CategoryB,1
D91v8E,22,0.6,CategoryB,1
abglKO,4,0.6,CategoryA,0
rW210A,91,0.9,CategoryB,1
y892cq,41,0.6,CategoryC,1
U9I3tR,56,0.2,CategoryB,0
WVj42m,88,0.3,CategoryB,1
418yMd,81,0.8,CategoryB,1
36oqEd,64,0.7,CategoryA,1
0E3NpF,31,0.8,CategoryC,1
MV299J,41,0.6,CategoryB,1
cpY7tl,40,0.2,CategoryA,0
9TvbOa,75,0.6,CategoryB,1
J76fCw,6,0.9,CategoryC,1
50Fs8J,94,0.1,CategoryB,1
CmoS1j,41,0.1,CategoryB,0
68dUx2,0,0.6,CategoryB,0
Oq64F3,11,0.2,CategoryA,0
P9KcxL,63,0.7,CategoryC,1
LkQrM2,81,1.0,CategoryB,1
784llp,80,0.4,CategoryA,1
5CoF5V,42,0.7,CategoryB,1
A25nCh,4,0.3,CategoryB,0
HYHOdZ,53,0.4,CategoryA,1
jVOH71,24,0.9,CategoryA,1
1297pS,9,0.5,CategoryC,0
1tI9vv,53,0.5,CategoryB,1
e2NW0k,22,0.5,CategoryC,0
9UZ4db,39,0.3,CategoryA,0
5CjUT3,64,0.0,CategoryB,0
bAH4CR,68,0.0,CategoryB,0
03JKZx,77,0.0,CategoryC,0
69IK2m,2,0.9,CategoryA,1
KlcPgE,27,0.4,CategoryC,0
M6cqrF,83,0.5,CategoryA,1
PK2le3,9,0.5,CategoryA,0
G1RKDf,24,0.0,CategoryB,0
oD32N7,52,0.7,CategoryA,1
rI53m5,59,0.3,CategoryC,1
aHR9ta,33,0.5,CategoryB,1
JRi0Wp,82,0.2,CategoryA,1
vfOJh2,36,0.4,CategoryB,0
ZZbpDa,12,1.0,CategoryB,1
f9Sqrf,27,0.7,CategoryA,1
680wLD,35,0.5,CategoryA,1
98s5BK,13,0.6,CategoryB,1
b24EU9,89,0.3,CategoryC,1
4aAl1N,82,0.9,CategoryB,1
xCml6K,31,0.6,CategoryB,1
r15K8b,26,0.6,CategoryC,1
P0m8ZI,57,0.7,CategoryC,1
ak86C4,33,0.8,CategoryC,1
lOFxGA,56,0.5,CategoryA,1
Zf413E,59,0.8,CategoryA,1
a5Z9YM,29,0.8,CategoryA,1
StJDdw,17,0.4,CategoryC,0
2X6q1D,42,0.9,CategoryC,1
jOgI2Z,31,0.1,CategoryA,0
jx3l00,34,0.7,CategoryC,1
zmw0Gb,40,0.3,CategoryB,0
662D3d,29,0.7,CategoryC,1
119bb3,26,0.2,CategoryC,0
rlpm7c,82,0.1,CategoryC,0
3rB8eH,79,0.3,CategoryA,1
X8Dl9F,81,0.4,CategoryA,1
U0y6p8,33,0.6,CategoryB,1
1H67e8,98,0.1,CategoryA,1
inhIkQ,54,0.1,CategoryA,0
QV42Na,65,0.2,CategoryA,0
mEjbCP,42,0.4,CategoryC,1
upCh79,36,0.8,CategoryA,1
3hRY30,43,0.1,CategoryA,0
pi9AKP,12,0.2,CategoryA,0
g2MM4e,66,0.9,CategoryC,1
q6l223,47,0.4,CategoryC,1
kCJ8qU,32,0.7,CategoryB,1
GD68KX,1,0.0,CategoryB,0
z91Yq8,85,0.3,CategoryB,1
Lf56s6,87,0.2,CategoryA,1
rgVCeq,14,0.1,CategoryB,0
ZA01wF,16,0.1,CategoryA,0
a4845L,49,0.4,CategoryB,1
CsvY03,92,0.4,CategoryC,1
1Na7CS,50,0.2,CategoryC,0
DUPc89,50,0.3,CategoryB,0
zNYvg2,63,0.6,CategoryA,1
143984,60,0.8,CategoryC,1
qN9hpH,77,0.3,CategoryC,1
thcyu7,100,0.2,CategoryA,1
5Oew87,15,0.5,CategoryC,0
6jIBwX,43,0.4,CategoryA,1
4a4U34,90,0.1,CategoryA,1
TgWIrV,58,0.8,CategoryB,1
lTE27Z,98,0.6,CategoryB,1
kf3L91,4,0.7,CategoryC,1
2BWLca,41,0.7,CategoryB,1
Xwufqs,22,0.6,CategoryA,1
06JBTH,79,0.4,CategoryC,1
s61Neb,92,0.2,CategoryB,1
F9rQ4E,57,0.0,CategoryC,0
zZ731K,67,0.7,CategoryC,1
cEhMFP,49,0.7,CategoryC,1
y6KYKb,57,0.8,CategoryA,1
08VAmT,96,0.3,CategoryB,1
0Cy7N6,100,0.9,CategoryA,1
fGh3G2,30,0.4,CategoryA,0
rdk1bU,66,0.0,CategoryB,0
cbPYEc,81,0.6,CategoryB,1
8qqbzv,56,0.8,CategoryC,1
G5DUjY,46,0.7,CategoryC,1
D791LJ,32,0.5,CategoryC,1
A4Quuj,93,1.0,CategoryA,1
D5Wjc7,78,0.4,CategoryA,1
39h043,82,0.4,CategoryB,1
iF1I8E,83,0.9,CategoryA,1
aj0S3G,0,0.1,CategoryA,0
S3719s,22,0.8,CategoryA,1
QHqq09,41,0.6,CategoryC,1
60v9A7,96,0.2,CategoryA,1
947p91,72,0.8,CategoryC,1
bwV4x8,88,0.2,CategoryC,1
7Jif4B,86,0.3,CategoryC,1
V95qWV,60,0.2,CategoryB,0
zhv1E7,70,0.3,CategoryB,1
F63v51,54,0.6,CategoryB,1
Gx3Ek8,59,0.8,CategoryA,1
TO29y0,11,0.1,CategoryB,0
h8Y4eA,14,0.9,CategoryA,1
xc7FTh,14,0.9,CategoryC,1
SHQq1S,14,0.3,CategoryA,0
p08GYZ,80,0.7,CategoryA,1
Dqtd6t,12,0.2,CategoryB,0
26XUla,92,0.4,CategoryB,1
RnC86v,83,0.7,CategoryB,1
42gdjd,64,0.9,CategoryC,1
0b7Cc7,98,1.0,CategoryC,1
wG6WWK,91,0.7,CategoryB,1
mawa8V,17,0.1,CategoryA,0
WLo3x3,22,1.0,CategoryB,1
fIFf3y,43,1.0,CategoryA,1
n45ULK,88,0.4,CategoryB,1
j097lE,30,0.6,CategoryB,1
pRC5ly,61,0.8,CategoryC,1
6x2dzg,1,0.7,CategoryB,1
R06DK8,69,0.6,CategoryC,1
i9u71N,51,0.8,CategoryA,1
KSoQU2,86,0.3,CategoryC,1
MDPJPO,75,0.1,CategoryB,0
G699iI,48,0.5,CategoryA,1
xmQ3tE,76,1.0,CategoryA,1
25Dz1O,53,0.1,CategoryB,0
121b7t,47,0.2,CategoryA,0
fm1WjK,37,0.2,CategoryB,0
X2354f,39,0.1,CategoryC,0
4dRm2z,95,0.2,CategoryC,1
d1ItV9,13,0.4,CategoryA,0
m606gf,34,0.3,CategoryB,0
9E6XfP,31,0.6,CategoryA,1
M1z434,51,0.2,CategoryA,0
50Xiny,28,0.6,CategoryA,1
9Se5Qm,4,1.0,CategoryA,1
b5BK6D,19,0.3,CategoryA,0
D9q119,91,0.4,CategoryB,1
gGwGhh,95,0.7,CategoryA,1
wN11Gm,81,1.0,CategoryC,1
qU8Qip,49,0.8,CategoryA,1
dgYP3n,40,1.0,CategoryB,1
i5F98n,12,0.3,CategoryA,0
L6El7E,28,0.9,CategoryC,1
QuZjBH,61,0.7,CategoryC,1
kI66e5,17,0.7,CategoryB,1
3C6SjG,41,1.0,CategoryC,1
er7Bcg,32,0.1,CategoryB,0
znHBNF,99,0.9,CategoryB,1
S4BNH8,82,0.8,CategoryB,1
s6JXYU,31,0.2,CategoryC,0
JfBC4m,42,0.1,CategoryA,0
Sb34jF,49,0.7,CategoryC,1
a59i27,6,0.9,CategoryC,1
7IsCB3,2,0.4,CategoryB,0
pNgBTQ,18,0.6,CategoryB,1
aD6H89,74,0.4,CategoryA,1
gKvxhM,39,0.9,CategoryC,1
qo99e5,75,0.3,CategoryC,1
Hbbb9H,64,0.1,CategoryB,0
p8ypJG,47,0.3,CategoryB,0
28oM3Z,86,0.2,CategoryA,1
4xvo0E,55,0.1,CategoryB,0
0J7qYa,60,0.2,CategoryB,0
8atOuV,28,0.9,CategoryC,1
hoaR83,83,0.6,CategoryC,1
uN3VYQ,5,0.4,CategoryC,0
a5h26x,87,0.7,CategoryB,1
1FmHD7,81,0.9,CategoryB,1
U7A1nI,72,0.8,CategoryC,1
5Br98j,65,0.1,CategoryA,0
uRAO03,96,0.6,CategoryA,1
N455HN,89,0.0,CategoryA,0
RZi9Yb,19,0.8,CategoryA,1
xzwMSK,34,0.4,CategoryA,0
TDHW69,95,0.9,CategoryA,1
aKn9JJ,55,0.8,CategoryA,1
9U36Z0,6,0.8,CategoryA,1
0RQM19,41,0.9,CategoryA,1
vbKh09,7,0.0,CategoryA,0
IE47Oj,22,0.7,CategoryB,1
Pn8C4T,84,0.1,CategoryC,0
6EdFr1,38,0.4,CategoryB,0
7R5TC8,22,0.1,CategoryC,0
Q1zo8T,30,0.4,CategoryA,0
QlOBuS,10,0.2,CategoryC,0
DNmlPk,29,0.5,CategoryC,1
wz30y6,72,0.7,CategoryA,1
7vcfKE,58,0.4,CategoryA,1
Xq8fRp,51,0.9,CategoryC,1
eQ3o2G,91,0.9,CategoryB,1
xPBR5F,88,0.9,CategoryA,1
fatDRt,86,1.0,CategoryA,1
MecdYe,37,0.2,CategoryA,0
vQ0677,27,0.1,CategoryC,0
naSXu5,39,0.6,CategoryC,1
y1l9xd,87,0.3,CategoryC,1
4DrY64,36,0.8,CategoryC,1
k21RT3,12,0.0,CategoryA,0
LHm81P,93,0.8,CategoryA,1
8Ickj6,93,0.2,CategoryC,1
Jv1p4P,58,0.7,CategoryA,1
46uYB6,92,0.3,CategoryB,1
540os6,60,1.0,CategoryA,1
17BXl9,20,0.1,CategoryB,0
Ljy1z6,29,0.6,CategoryB,1
Ss13o3,2,0.9,CategoryA,1
x09vjI,39,0.9,CategoryB,1
xNIyw6,34,0.6,CategoryA,1
7h0LMt,51,0.6,CategoryB,1
ip4R2D,83,0.8,CategoryB,1
PPJ85r,8,0.3,CategoryC,0
OOuPXe,31,0.9,CategoryC,1
H1sv4D,67,0.1,CategoryC,0
V1cp7U,55,1.0,CategoryB,1
kbayQy,64,0.0,CategoryB,0
3QFLPW,26,0.3,CategoryC,0
vgRi4C,73,0.4,CategoryA,1
noWcDb,54,0.4,CategoryA,1
vj4Ru0,48,0.0,CategoryB,0
aGt013,59,0.2,CategoryC,0
0H2xeW,7,0.2,CategoryA,0
9sgN3z,75,0.8,CategoryB,1
Jj2E5z,55,0.4,CategoryB,1
TsN611,2,0.0,CategoryB,0
n4TyHc,88,0.1,CategoryC,1
vVXSTH,97,0.8,CategoryA,1
lX3839,51,0.3,CategoryC,0
T9gzKM,92,0.3,CategoryC,1
5ArC2u,44,0.2,CategoryA,0
9rf6xm,10,0.1,CategoryB,0
oaLugC,92,0.6,CategoryC,1
